Name,Committee ID,Treasurer,Street_1,Street_2,City,ZIP code,state,Connected Org Name,Political Orientation,Filing frequency,Total receipts (includes both itemized and unitemized contributions),Total unitemized contributions,cash on hand,last report date,total IEs,IEs support dems,IEs oppose dems,IEs support reps,IEs oppose reps
TTBO SUPER PAC,C00511006,GORDON STUFFLEBEAM,511 S SULLIVAN 213,,SPOKANE VALLEY,99037,WA,,Unassigned,Quarterly,,,,,0,0,0,0,0
TURN RIGHT USA,C00497461,CLAUDE TODOROFF,18016 SOUTH WESTERN AVENUE STE 223,,GARDENA,90248,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
TWELVE IS ENOUGH SUPER PAC,C00513820,IAN CLARK,7119 W SUNSET BLVD #633,,LOS ANGELES,90046,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
UNITED STATES FOR EVERYONE SUPER PAC,C00512400,DEWITT TURNER,3535 PEACHTREE ROAD NE,SUITE 520-622,ATLANTA,30326,GA,,Unassigned,Quarterly,,,,,0,0,0,0,0
UNITY 2012,C00514794,DIANA ROGALLE,700 13TH STREET NW SUITE 600,,WASHINGTON,20005,DC,PRIORITIES USA ACTION/MAJORITY PAC/HOU,Backs Democrats,Quarterly,1100100,100,19979.64,9/30/12,0,0,0,0,0
US ISRAEL FRIENDSHIP PAC,C00490649,SAM LAUTER,300 M STREET SE SUITE 1102,,WASHINGTON,20003,DC,,Unassigned,Quarterly,13.26,0,3679.13,11/26/12,0,0,0,0,0
USTETA PAC,C00495929,ROBERT FOSTER,1776 I STREET NW SUITE 900,,WASHINGTON,20003,DC,UNITED STATES TRANSPORTATION ENERGY &,Unassigned,Quarterly,,,,,0,0,0,0,0
VETERANS FOR LIBERTY SUPER PAC,C00515080,ZAKERY ANDREW CARTER,PO BOX 30794,,BETHESDA,20824,MD,,Unassigned,Quarterly,,,,,0,0,0,0,0
VOTE OUT INCUMBENTS FOR DEMOCRACY,C00423467,DAVID R REMER,PO BOX 1271,,SPRING BRANCH,78070,TX,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
VOTERS FOR COMMON SENSE,C00503367,JOHN S WINKLER,2515 OAK STREET,,JACKSONVILLE,32204,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
"VOTERS FOR JUSTICE, INC. PAC",C00498741,"HARTENBAUM, RON MR.",1938 FIELDS POND DRIVE,SUITE 100,MARIETTA,30068,GA,,Unassigned,Monthly,25510.32,10.32,95.68,8/31/12,0,0,0,0,0
WE ARE THE 99% MOVEMENT,C00511378,DUKE THOMAS,545 E TOWN ST,,COLUMBUS,43215,OH,NONE,Unassigned,Quarterly,11500,0,5093.33,9/30/12,0,0,0,0,0
WE LOVE USA PAC,C00489211,NANCY H WATKINS,610 S BOULEVARD,,TAMPA,33606,FL,,Unassigned,Quarterly,0,0,0,8/20/12,0,0,0,0,0
WE THE PEOPLE FOR A CONSTITUTIONAL AMERICA POLITICAL ACTION COMMITTEE,C00510131,CORIE MATTAR,2104 SURREY RD,,SACRAMENTO,95815,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
WE'RE NOT GOING BACK,C00490359,WILLIAM KIRK JR,1718 M STREET NW SUITE 271,,WASHINGTON,20036,DC,NONE,Unassigned,Quarterly,0,0,3747.28,10/17/12,0,0,0,0,0
WHY NOT ZOIDPAC?,C00514646,DANIEL BEN-DAVID,3 AMES STREET M505,,CAMBRIDGE,2142,MA,NONE,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
WOLF PAC,C00485102,"KOLLER, DAVID",6363 WILSHIRE BLVD SUITE 301,,LOS ANGELES,90048,CA,NONE,Unassigned,Quarterly,65341.57,36902.76,1698.76,9/30/12,0,0,0,0,0
YOUNG DEMOCRATS OF AMERICA PAC,C00515064,JONATHAN PADILLA,PO BOX 77496,,WASHINGTON,20013,DC,,Backs Democrats,Quarterly,151090.84,0,32127.02,9/30/12,0,0,0,0,0
YOUNG VOTERS,C00435818,"COBB, JOE",POSTAL BOX 1855,,GLENDALE,85311,AZ,,Unassigned,Quarterly,50,50,160.19,10/17/12,0,0,0,0,0
YOUR AMERICA INC,C00505248,JAMES R GRAHAM,PO BOX 2518,,ATLANTA,30301,GA,NONE,Unassigned,Quarterly,21000,0,1089.84,9/30/12,0,0,0,0,0
CENTRAL VALLEY PAC,C00516138,DAVID BAUER,2150 RIVER PLAZA DR #150,,SACRAMENTO,95833,CA,NONE,Unassigned,Quarterly,500,0,484.5,10/17/12,0,0,0,0,0
"PARENTS AGAINST CHILD ACCESS TO PORNOGRAPHY, LLC",C00516120,TYLER LUND,520 N HILLSIDE CIRCLE,,ALPINE,84004,UT,,Unassigned,Quarterly,610.62,210,0,11/18/12,0,0,0,0,0
VOICE OF FREEDOM SUPER PAC,C00516146,STEVEN PETER KUIVENHOVEN,201 TOWNSEND STREET SUITE 900,,LANSING,48933,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
WE BELIEVE USA,C00516534,BRIAN BURCH,PO BOX 756,,PETOSKEY,49770,MI,,Unassigned,Quarterly,0,0,150,9/30/12,0,0,0,0,0
WEDNESDAY MORNING CONSERVATIVES; THE,C00516559,FORREST GRANT BARNWELL-HAGEMEYER,1105 WEST OUTER DRIVE,,OAK RIDGE,37830,TN,,Unassigned,Quarterly,,,,,0,0,0,0,0
"AMERICANS FOR A BETTER TOMORROW, YESTERDAY",C00517086,STEFANI A JONES,C/O STEFANI JONES,BOX 95060,DURHAM,27708,NC,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
NEUTRALIZING FORCE,C00516898,PAUL FISCHLER,98 RIVERVIEW DRIVE,,ROCHESTER,3867,NH,,Unassigned,Quarterly,,,,,0,0,0,0,0
PEEPS PAC,C00516914,JENNIFER PEEPLES,2096 E COUNTRY PINE COVE,,SALT LAKE CITY,84117,UT,,Unassigned,Quarterly,,,,,0,0,0,0,0
A BETTER CONGRESS PAC,C00517201,RITA COPELAND,5429 MADISON AVENUE,,SACRAMENTO,95841,CA,NONE,Unassigned,Quarterly,0,0,0,6/30/12,0,0,0,0,0
DEMOCRACY STEWARDS SUPER POLITICAL ACTION COMMITTEE,C00517292,MICHAEL E DESROCHER,7892 MOORING CT,,HUDSONVILLE,49426,MI,,Unassigned,Quarterly,0,0,226.19,9/30/12,0,0,0,0,0
FRIENDS OF TRADITIONAL BANKING INC,C00517276,HOWARD M HEADLEE,175 S MAIN STREET SUITE 1420,,SALT LAKE CITY,84111,UT,NONE,Unassigned,Quarterly,40200.14,1214,7826.84,10/17/12,0,0,0,0,0
MITT IS MEAN - ANIMAL LOVERS AGAINST ROMNEY COMMITTEE THE,C00517284,LARRY ATHERTON,113 STRATTON BROOK ROAD,,SIMSBURY,6070,CT,,Unassigned,Quarterly,,,,,0,0,0,0,0
THANK YOU CITIZEN'S UNITED! SUPER PAC,C00517151,ISAAC DIAMOND,7804 89TH PL SE,,MERCER ISLAND,98040,WA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
BLUEGRASS VOTES SUPER PAC,C00517409,JEREMY HUGHES,3 NELSON COURT,,COVINGTON,41015,KY,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
FREEDOM PIONEERS ACTION NETWORK,C00517433,JUSTIN BRASELL,PO BOX 12243,,JACKSON,39236,MS,NONE,Unassigned,Quarterly,125,125,101.5,10/17/12,0,0,0,0,0
COMMITTEE FOR THE RE-ELECTION OF THE PRESIDENT,C00518019,ROBERT LUCAS,PO BOX 58092,VIRGINIA AVE NW,WASHINGTON,20037,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
GRASSROOTS ACTION POLITICAL ACTION COMMITTEE,C00518159,HANK FUHS,215 S WASHINGTON SQ SUITE 210,,LANSING,48933,MI,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
LETOURPRESIDENTLEAD.COM,C00518043,ROY LEE ROBERTS JR,2116 HOBBS ROAD J7,,NASHVILLE,37125,TN,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR AMERICA,C00518340,GUY BURSTEIN,3250 FAIRESTA STREET #B16,,LACRESCENTA,91214,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
CITY ATTORNEY JAN GOLDSMITH 2012 COMMITTEE,C00518571,MICHAEL WAGNER,7185 NAVAJO ROAD SUITE P,,SAN DIEGO,92119,CA,,Unassigned,Terminated,,,,,0,0,0,0,0
THE DUMP HIM PROJECT,C00518480,JAMES C THOMAS III,4131 N MULBERRY DR SUITE 200,,KANSAS CITY,64116,MO,,Unassigned,Quarterly,,,,,0,0,0,0,0
IPSO FACTO,C00518530,CONSTANTINE SEDER,6900 SEVEN LOCKS ROAD,,CABIN JOHN,20818,MD,,Unassigned,Quarterly,,,,,0,0,0,0,0
OCCUPY OBAMACARE,C00518464,GLENN W TROY MORTON,1300 MERCANTILE LN SUITE 139BB,,LARGO,20774,MD,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
UNITED FOR AMERICA'S VOTE,C00518563,WASHICA LITTLE,2350 SPRING RD UNIT 138,,SMYRNA,30080,GA,,Unassigned,Monthly,,,,,0,0,0,0,0
LIBERTY OR DEATH PAC,C00518761,DANIEL F PETERS,10782 NEW GROVE TRAIL #83,,SAN DIEGO,92130,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
COALITION FOR WOMEN'S ECONOMIC DEVELOPMENT,C00518928,ALEXANDER M COWDEN,C/O ALEXANDER COWDEN,25304 E 62ND ST,BROKEN ARROW,74014,OK,,Unassigned,Quarterly,,,,,0,0,0,0,0
STUDENTS FOR A BETTER TOMORROW TOMORROW,C00518936,AMANDA CLAYPOOL,244 BLUE JAY DRIVE,,HORSEHEADS,14845,NY,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
RENEW USA PAC,C00519181,KIM REEM,PO BOX 10523,,CEDAR RAPIDS,52410,IA,,Unassigned,Quarterly,2000,0,893.97,11/26/12,0,0,0,0,0
CALIFORNIA CONSERVATIVE POLITICAL ACTION COMMITTEE,C00519397,JOHN FUGATT,PO BOX 3502,,HUNTINGTON BEACH,92647,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
DREAD SCOTT SUPERPAC,C00519215,JON M KELLY,3185 SOUTH GRAND BOULEVARD #301,,SAINT LOUIS,63118,MO,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
MADISON TEA PARTY,C00519306,LISA A SENG,4136 WEST STATE RD 256,,HANOVER,47243,IN,,Unassigned,Quarterly,,,,,0,0,0,0,0
PENNSYLVANIANS FOR JOBS,C00519249,PAUL KILGORE,307 FOURTH AVENUE SUITE 920,,PITTSBURGH,15220,PA,NONE,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
LIBERTY THROUGH GRASSROOTS EFFORTS SUPER PAC,C00519488,BRIAN CHARLES PETERSON,300 M-553,,MARQUETTE,49855,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
NEBRASKA UNITED,C00519496,"MARSTON, CHRIS",PO BOX 26141,,ALEXANDRIA,22313,VA,NONE,Unassigned,Quarterly,10000,0,0,6/30/12,0,0,0,0,0
WINNING OUR LIBERTY AND FUTURE (WOLF) PAC,C00519637,DESTIN CHASE MURPHY,8870 SADDLE TRAIL,,BALL GROUND,30107,GA,,Unassigned,Quarterly,,,,,0,0,0,0,0
CITIZENS FOR THE ADVANCEMENT OF SCIENTIFIC EDUCATION,C00519769,VINCENT GREGORY ENGLISH,415 N DUNLAP AVE #104,,SAVOY,61874,IL,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
COMMITTEE TO GET WALKER RUNNING,C00519702,NICHOLAS TROIANO,3220 N STREET NW #284,,WASHINGTON,20007,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
GALPAC INC,C00500413,CATHERINE ANN CARLSON,3735 MOUNTAIN LAUREL PLACE,,BOULDER,80304,CO,,Unassigned,Quarterly,582.24,0,600.87,10/22/12,0,0,0,0,0
PUBLIC CAMPAIGN FINANCING SUPER PAC,C00519728,STUART L STEIN,POST OFFICE BOX 29598,,SANTA FE,87592,NM,,Unassigned,Quarterly,,,,,0,0,0,0,0
SCIENTIFIC ADVANCEMENT FOR AMERICA,C00516682,BENJAMIN AARON SCOTT,177 WICKFORD POINT ROAD,,NORTH KINGSTOWN,2852,RI,,Unassigned,Quarterly,,,,,0,0,0,0,0
ASIAN AMERICANS FOR PEACE AND PROSPERITY,C00519777,JOSEPH NGO,C/O JOSEPH NGO,PO BOX 2081,WESTMINSTER,92684,CA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
ABAMCIS CRITIQUING AMERICA FOR A MORE PROSPEROUS FUTURE,C00519991,ANGEL LUIS CADENA JR,67 LONGHILL AVE,,SHELTON,6484,CT,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICAN PROGRESSIVE CAUSES,C00520015,BRIAN NUNNALLY,220 COLLEGE AVE SUITE 309,,ATHENS,30601,GA,,Unassigned,Quarterly,,,,,0,0,0,0,0
CATS FOR A BETTER TOMORROW TOMORROW,C00519876,DAVID JENSEN,8433 SERANATA DR,,WHITTIER,90603,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
MILWAUKEEANS FOR A BETTER TOMORROW TOMORROW,C00520023,ROSA FLANAGAN,811 E CALUMET RD,,MILWAUKEE,53217,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
PROGRESS CONNECTICUT,C00520007,DEREK E DONNELLY,PO BOX 230152,,HARTFORD,6123,CT,,Unassigned,Quarterly,40,40,5,10/17/12,0,0,0,0,0
AFRICAN AMERICANS FOR LIBERTY,C00517508,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
ALABAMA FOR LIBERTY,C00517854,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
ALASKA FOR LIBERTY,C00517847,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
ALLIES OF ISRAEL POLITICAL ACTION COMMITTEE,C00520320,RODNEY VELASCO,72 ROEBLING STREET #4A,,BROOKLYN,11211,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICA'S SUPER PAC FOR THE PERMANENT ELIMINATION OF AMERICA'S SUPER PACS,C00520296,JONATHAN RACHOWICZ,1850 W 84TH DR APT E122,,MERRILLVILLE,46410,IN,,Unassigned,Monthly,10,10,0,10/17/12,0,0,0,0,0
AMERICAN PRIORITIES JOINT FUNDRAISING COMMITTEE,C00519918,BRADLEY BEYCHOK,700 13TH STREET NW SUITE 600,,WASHINGTON,20005,DC,,Backs Democrats,Quarterly,763215,6965,516035.01,9/30/12,0,0,0,0,0
AMERICAN STRATEGIC ALLIANCE,C00520338,MURRAY H VAN EMAN,809 W 12TH STREET STE E,,AUSTIN,78701,TX,,Unassigned,Quarterly,95.5,95.5,0,10/25/12,0,0,0,0,0
AMERICAN'S FOR INTERNET FREEDOM,C00520247,PAUL NORMAN MAGER,32 AUDREY AVENUE,,PLAINVIEW,11803,NY,,Unassigned,Terminated,,,,,0,0,0,0,0
AMERICANS FOR A MORE AMERICAN AMERICA,C00520213,MICHAEL ANTHONY INVERNALE,99 LINDEN STREET APARTMENT 24,,WALTHAM,2452,MA,,Unassigned,Quarterly,0,0,0,6/30/12,0,0,0,0,0
ARKANSAS FOR LIBERTY,C00517839,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
ASIANS FOR LIBERTY,C00516377,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
CALIFORNIA FOR LIBERTY,C00516203,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
COLORADO FOR LIBERTY,C00516302,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
CONNECTICUT FOR LIBERTY,C00517821,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
DELAWARE FOR LIBERTY,C00517813,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
FILIPINOS FOR LIBERTY,C00516401,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
FLORIDA FOR LIBERTY,C00516294,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
GEORGIA FOR LIBERTY,C00517805,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
HAWAII FOR LIBERTY,C00517797,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
HISPANICS FOR LIBERTY,C00516393,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
IDAHO FOR LIBERTY,C00517789,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
ILLINOIS FOR LIBERTY,C00517771,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
INDIANA FOR LIBERTY,C00517763,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
IOWA FOR LIBERTY,C00516278,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
KANSAS FOR LIBERTY,C00517755,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
KENTUCKY FOR LIBERTY,C00517748,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
KOREANS FOR A BETTER FUTURE,C00513812,DOUGLAS J EDWARDS,252 WIGET LN,,WALNUT CREEK,94598,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
LOUISIANA FOR LIRTY,C00517730,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
MAINE FOR LIBERTY,C00517722,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
MARYLAND FOR LIBERTY,C00517714,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
MASSACHUETTS FOR LIBERTY,C00517698,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
MICHIGAN FOR LIBERTY,C00516260,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
MINNESOTA FOR LIBERTY,C00517631,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
MISSISSIPPI FOR LIBERTY,C00517649,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
MISSOURI FOR LIBERTY,C00517656,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
MONTANA FOR LIBERTY,C00517664,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
NATIVE AMERICANS FOR LIBERTY,C00516229,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
NEBRASKA FOR LIBERTY,C00517672,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
NEVADA FOR LIBERTY,C00516252,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW HAMPSHIRE FOR LIBERTY,C00516245,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW JERSEY FOR LIBERTY,C00517680,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW MEXICO FOR LIBERTY,C00516237,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW YORK FOR LIBERTY,C00516195,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
NORTH CAROLINA FOR LIBERTY,C00516344,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
NORTH DAKOTA FOR LIBERTY,C00517623,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
OHIO FOR LIBERTY,C00516336,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
OKLAHOMA FOR LIBERTY,C00517615,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
OREGON FOR LIBERTY,C00517607,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
"PENN STATERS FOR A BETTER TOMORROW, TOMORROW",C00520221,REMY MICHELLE MAISEL,3 OLD PHILLIPS HILL RD,,NEW CITY,10956,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
PENNSYLVANIA FOR LIBERTY,C00516328,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
RHODE ISLAND FOR LIBERTY,C00517599,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
SENIORS FOR LIBERTY,C00516369,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
SOUTH CAROLINA FOR LIBERTY,C00517581,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
SOUTH DAKOTA FOR LIBERTY,C00517573,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
TENNESSEE FOR LIBERTY,C00517565,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
TEXAS FOR LIBERTY,C00516187,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
US FOR LIBERTY,C00516179,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
UTAH FOR LIBERTY,C00517557,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
"UTES FOR A BETTER TOMORROW, TOMORROW",C00520239,JOSHUA MINES,3634 QUAIL POINT RD,,MORGAN,84050,UT,,Unassigned,Quarterly,,,,,0,0,0,0,0
VERMONT FOR LIBERTY,C00517540,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
VIRGINIA FOR LIBERTY,C00516310,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
WASHINGTON FOR LIBERTY,C00517532,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
WEST VIRGINIA FOR LIBERTY,C00517524,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
WISCONSIN FOR LIBERTY,C00516351,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
WOMEN FOR LIBERTY,C00519298,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
WYOMING FOR LIBERTY,C00517516,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
YOUNG AMERICANS FOR LIBERTY,C00516419,DOUGLAS J EDWARDS,945 FAIRWAY TRAILS CT,,BRIGHTON,48116,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
BUCK UP TO BEEF UP AMERICA,C00520437,PATRICK E JOHNSON,C/O PATRICK JOHNSON,148 NASSAU AVE UPPER,KENMORE,14217,NY,,Unassigned,Quarterly,25,25,0,9/30/12,0,0,0,0,0
CONCERNED MOMS AND DADS OF AMERICA,C00520361,SHARON R PEETZ,12932 SE KENT-KANGLEY STE 133,,KENT,98030,WA,,Unassigned,Quarterly,,,,,0,0,0,0,0
DISABLED CITIZENS UNITED,C00520452,ROBERT J SEUIGNY,3356 BARNARD WAY #105,,SANTA MONICA,90405,CA,NONE,Unassigned,Quarterly,1277,1027,918.54,9/30/12,0,0,0,0,0
YOUNG AMERICANS FOR RATIONAL POLITICS,C00520676,ALEXANDER C LANNACIO,PO BOX 172353,,TAMPA,33672,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
CALIFORNIA CREDIT UNION LEAGUE PAC - FEDERAL,C00235929,"EICHMAN, J. RICHARD","1201 K STREET, SUITE 1050",,SACRAMENTO,95814,CA,,Unassigned,Quarterly,10551.27,6657.37,13965.6,10/17/12,0,0,0,0,0
